_id,addedScope,username,status,publicKey,encryptedPrivateKey,issuerSignature,issuedPublicKey,firstName,lastName,fullName,address,district,city,state,email,birthDay,gender,phone,role,managementUnit,image,code,agency,shippingAgency,student
users0000000000000000001,,superadmin,,,,,,Admin,Super,,95 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,superadmin@gmail.com,1/1/2000,0,123456788,roles0000000000000000001,managementunits000000001,,1,,,1
users0000000000000000002,,giamdoc,,,,,,Giám Đốc,Nguyễn,,96 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,gd@gmail.com,1/1/2000,1,123456789,roles0000000000000000002,managementunits000000002,,2,,,2
users0000000000000000003,,kehoach01,,,,,,Kế Hoạch,Nguyễn,,97 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kh1@gmail.com,1/1/2000,0,123456790,roles0000000000000000003,managementunits000000003,,3,,,3
users0000000000000000004,,kehoach02,,,,,,Kế Hoạch,Trần,,98 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kh2@gmail.com,1/1/2000,1,123456791,roles0000000000000000004,managementunits000000003,,4,,,4
users0000000000000000005,,kehoach03,,,,,,Kế Hoạch,Phạm,,99 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kh3@gmail.com,1/1/2000,0,123456792,roles0000000000000000004,managementunits000000003,,5,,,5
users0000000000000000006,,kythuat01,,,,,,Kỹ Thuật,Nguyễn,,100 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kt1@gmail.com,1/1/2000,1,123456793,roles0000000000000000005,managementunits000000004,,6,,,
users0000000000000000007,,kythuat02,,,,,,Kỹ Thuật,Trần,,101 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kt2@gmail.com,1/1/2000,0,123456794,roles0000000000000000006,managementunits000000004,,7,,,
users0000000000000000008,,kythuat03,,,,,,Kỹ Thuật,Phạm,,102 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,kt3@gmail.com,1/1/2000,1,123456795,roles0000000000000000006,managementunits000000004,,8,,,
users0000000000000000009,,totruong01,,,,,,Tổ Trưởng,Nguyễn,,103 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tt1@gmail.com,1/1/2000,0,123456796,roles0000000000000000007,managementunits000000005,,9,,,
users0000000000000000010,,totruong02,,,,,,Tổ Trưởng,Trần,,104 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tt2@gmail.com,1/1/2000,1,123456797,roles0000000000000000007,managementunits000000005,,10,,,
users0000000000000000011,,totruong03,,,,,,Tổ Trưởng,Phạm,,105 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,tt3@gmail.com,1/1/2000,0,123456798,roles0000000000000000007,managementunits000000005,,11,,,
users0000000000000000012,,nongdan01,,,,,,Nông Dân,Nguyễn,,106 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,nd1@gmail.com,1/1/2000,1,123456799,roles0000000000000000008,managementunits000000005,,12,,,
users0000000000000000013,,nongdan02,,,,,,Nông Dân,Trần,,107 Trung Kính,Yên Hòa,Cầu Giấy,Hà Nội,nd2@gmail.com,1/1/2000,0,123456800,roles0000000000000000008,managementunits000000005,,13,,,
